method,target,feature,mean_abs_shap
CatBoost,HumanCharacterization,movementsTransitionsDuration,0.05754940734732894
CatBoost,HumanCharacterization,timeDuration,0.05552460860948259
CatBoost,HumanCharacterization,nMovements,0.051147158772470155
CatBoost,HumanCharacterization,musicBPM,0.03635608261381756
CatBoost,HumanCharacterization,legsMovement,0.027251600385142006
CatBoost,HumanReproducibility,musicBPM,0.07863386696212377
CatBoost,HumanReproducibility,nMovements,0.03911477172300799
CatBoost,HumanReproducibility,movementsTransitionsDuration,0.03489080023189804
CatBoost,HumanReproducibility,timeDuration,0.030080435527771003
CatBoost,HumanReproducibility,acrobaticMovements,0.02329715753568881
CatBoost,MovementTechnique,nMovements,0.19359493616134432
CatBoost,MovementTechnique,musicBPM,0.05400168520624947
CatBoost,MovementTechnique,movementsTransitionsDuration,0.042309424306851244
CatBoost,MovementTechnique,timeDuration,0.041796018436729726
CatBoost,MovementTechnique,handsMovement,0.008658380634957157
CatBoost,PublicInvolvement,nMovements,0.22043723452474911
CatBoost,PublicInvolvement,musicBPM,0.07669042281204495
CatBoost,PublicInvolvement,timeDuration,0.07585330444605946
CatBoost,PublicInvolvement,movementsTransitionsDuration,0.053347728491197406
CatBoost,PublicInvolvement,handsMovement,0.016582679012955237
CatBoost,Rhythm,nMovements,0.2967824885097744
CatBoost,Rhythm,musicBPM,0.08041919090363488
CatBoost,Rhythm,timeDuration,0.06975985503282686
CatBoost,Rhythm,movementsTransitionsDuration,0.0595549327571693
CatBoost,Rhythm,legsMovement,0.024419942945290162
CatBoost,SpaceUse,nMovements,0.19856595890694884
CatBoost,SpaceUse,musicBPM,0.09616764725460167
CatBoost,SpaceUse,timeDuration,0.044451861956487815
CatBoost,SpaceUse,movementsTransitionsDuration,0.0284225168753429
CatBoost,SpaceUse,movementsDifficulty,0.012495786949572955
CatBoost,Storytelling,nMovements,0.2599989695222186
CatBoost,Storytelling,timeDuration,0.09178450611440439
CatBoost,Storytelling,musicBPM,0.05352754827295462
CatBoost,Storytelling,movementsTransitionsDuration,0.05339072131023018
CatBoost,Storytelling,handsMovement,0.014602259398203398
Ridge Pipeline,HumanCharacterization,scale_all__movementsTransitionsDuration,0.030593245557253568
Ridge Pipeline,HumanCharacterization,scale_all__legsMovement,0.02295106138644445
Ridge Pipeline,HumanCharacterization,scale_all__musicGenre_latin,0.020644325372259232
Ridge Pipeline,HumanCharacterization,scale_all__balance,0.019916357219590935
Ridge Pipeline,HumanCharacterization,scale_all__musicGenre_electronic,0.019281098451464532
Ridge Pipeline,HumanReproducibility,scale_all__nMovements,0.03657394386886915
Ridge Pipeline,HumanReproducibility,scale_all__movementsTransitionsDuration,0.03463033716353333
Ridge Pipeline,HumanReproducibility,scale_all__musicBPM,0.024448855460577852
Ridge Pipeline,HumanReproducibility,scale_all__speed,0.022200519118024828
Ridge Pipeline,HumanReproducibility,scale_all__balance,0.02021764159615389
Ridge Pipeline,MovementTechnique,scale_all__nMovements,0.16418516686037538
Ridge Pipeline,MovementTechnique,scale_all__musicBPM,0.03793620825520364
Ridge Pipeline,MovementTechnique,scale_all__movementsTransitionsDuration,0.035563779290774145
Ridge Pipeline,MovementTechnique,scale_all__musicGenre_rock,0.021530426591063443
Ridge Pipeline,MovementTechnique,scale_all__headMovement,0.017002573020499213
Ridge Pipeline,PublicInvolvement,scale_all__nMovements,0.19652951348866446
Ridge Pipeline,PublicInvolvement,scale_all__musicBPM,0.05085726691990276
Ridge Pipeline,PublicInvolvement,scale_all__legsMovement,0.033934148622174136
Ridge Pipeline,PublicInvolvement,scale_all__headMovement,0.0313880252675031
Ridge Pipeline,PublicInvolvement,scale_all__movementsDifficulty,0.029921968335224612
Ridge Pipeline,Rhythm,scale_all__nMovements,0.23673793712636151
Ridge Pipeline,Rhythm,scale_all__musicBPM,0.03728613429732027
Ridge Pipeline,Rhythm,scale_all__movementsTransitionsDuration,0.03197634219754783
Ridge Pipeline,Rhythm,scale_all__headMovement,0.029060028773337913
Ridge Pipeline,Rhythm,scale_all__legsMovement,0.027913507534101187
Ridge Pipeline,SpaceUse,scale_all__nMovements,0.15166802685488454
Ridge Pipeline,SpaceUse,scale_all__musicBPM,0.07982369622233393
Ridge Pipeline,SpaceUse,scale_all__headMovement,0.024600885145250277
Ridge Pipeline,SpaceUse,scale_all__movementsDifficulty,0.015461880305422305
Ridge Pipeline,SpaceUse,scale_all__movementsRepetition,0.014281496100023649
Ridge Pipeline,Storytelling,scale_all__nMovements,0.2258071194913558
Ridge Pipeline,Storytelling,scale_all__movementsTransitionsDuration,0.06271496040763502
Ridge Pipeline,Storytelling,scale_all__musicBPM,0.045505024423312855
Ridge Pipeline,Storytelling,scale_all__headMovement,0.03056676865539639
Ridge Pipeline,Storytelling,scale_all__armsMovement,0.018330434938353353
XGBoost,HumanCharacterization,timeDuration,0.1335369734755663
XGBoost,HumanCharacterization,musicBPM,0.126403669248237
XGBoost,HumanCharacterization,nMovements,0.09178890435865597
XGBoost,HumanCharacterization,movementsTransitionsDuration,0.058965148506778045
XGBoost,HumanCharacterization,legsMovement,0.05051068263405402
XGBoost,HumanReproducibility,musicBPM,0.13143104338388115
XGBoost,HumanReproducibility,timeDuration,0.09212464275956529
XGBoost,HumanReproducibility,nMovements,0.06881419937270777
XGBoost,HumanReproducibility,movementsTransitionsDuration,0.04715232617214288
XGBoost,HumanReproducibility,acrobaticMovements,0.040606008108763136
XGBoost,MovementTechnique,nMovements,0.18934781054571093
XGBoost,MovementTechnique,musicBPM,0.1348949322366428
XGBoost,MovementTechnique,timeDuration,0.11678266753023323
XGBoost,MovementTechnique,movementsTransitionsDuration,0.04850306728792377
XGBoost,MovementTechnique,feetMovement,0.03443693681482687
XGBoost,PublicInvolvement,nMovements,0.21003312984747152
XGBoost,PublicInvolvement,musicBPM,0.16361590565072437
XGBoost,PublicInvolvement,timeDuration,0.14992170007082442
XGBoost,PublicInvolvement,movementsTransitionsDuration,0.06487896127331273
XGBoost,PublicInvolvement,movementsDifficulty,0.03950626272416602
XGBoost,Rhythm,nMovements,0.2753367986377465
XGBoost,Rhythm,musicBPM,0.1620045340492825
XGBoost,Rhythm,timeDuration,0.15786748666626294
XGBoost,Rhythm,movementsTransitionsDuration,0.06652197438956423
XGBoost,Rhythm,legsMovement,0.04522194466865504
XGBoost,SpaceUse,nMovements,0.2018595107361282
XGBoost,SpaceUse,musicBPM,0.15005894994757965
XGBoost,SpaceUse,timeDuration,0.11134819343999212
XGBoost,SpaceUse,movementsTransitionsDuration,0.050157694756105944
XGBoost,SpaceUse,armsMovement,0.035792162779884784
XGBoost,Storytelling,nMovements,0.23323772076130417
XGBoost,Storytelling,timeDuration,0.16850258551064684
XGBoost,Storytelling,musicBPM,0.14103267848258585
XGBoost,Storytelling,movementsTransitionsDuration,0.057132070484113895
XGBoost,Storytelling,humanMovements,0.036402056016393625
