,subgroup_musicGenre_electronic_0_mean_abs_shap,subgroup_musicGenre_electronic_1_mean_abs_shap,subgroup_musicGenre_folk_0_mean_abs_shap,subgroup_musicGenre_folk_1_mean_abs_shap,subgroup_musicGenre_indie_1_mean_abs_shap,subgroup_musicGenre_indie_0_mean_abs_shap,subgroup_musicGenre_latin_0_mean_abs_shap,subgroup_musicGenre_latin_1_mean_abs_shap,subgroup_musicGenre_pop_0_mean_abs_shap,subgroup_musicGenre_pop_1_mean_abs_shap,subgroup_musicGenre_rap_0_mean_abs_shap,subgroup_musicGenre_rap_1_mean_abs_shap,subgroup_musicGenre_rock_0_mean_abs_shap,subgroup_musicGenre_rock_1_mean_abs_shap
timeDuration,0.3186386565499225,0.32070033135553777,0.312167346863422,0.3508823888011548,0.3134114224247016,0.31946029216046795,0.31895223424583835,0.3196829479016093,0.32370473009797074,0.2835403312297262,0.32216805255991987,0.2846642251226452,0.3161449542010538,0.3322136350434382
nMovements,0.5349321799617233,0.5285575166219247,0.5308250409410378,0.5474595607993751,0.47584203365341243,0.5383663884113079,0.5395002922082729,0.4731459279941014,0.5139565310474965,0.6836366158710645,0.5383367488494458,0.48398052572426753,0.5396795699997928,0.5065830054227679
movementsDifficulty,0.03144044369019426,0.02993325438910059,0.03114406661057026,0.031262692637479716,0.03400682520255998,0.030939426474188944,0.031128701574037444,0.031549404234404374,0.03160689186267532,0.027822512009163632,0.03152576002361829,0.027234807729189712,0.03045416546451412,0.0344337221617291
robotSpeech,0.011801533637885185,0.010497461424332657,0.011755666603316109,0.010667863393332293,0.010770987017109757,0.01162615510693104,0.01153197679445432,0.011893978618475538,0.011389418909972077,0.012878308540338192,0.011628943520339618,0.010847500940573,0.011169739884618774,0.013372642160773735
acrobaticMovements,0.015373244122411648,0.014741625155481455,0.014616616913290035,0.018241718142914292,0.021945462699393778,0.014726869656533312,0.015491073211382017,0.01279149235965608,0.015974299499787514,0.00983777650931734,0.014997708371879309,0.01809212506641213,0.01541303900702461,0.014544197915550297
movementsRepetition,0.027045366136241623,0.026797976889108215,0.026076895831091695,0.03129655523164959,0.022000999097289167,0.027397072130290297,0.026110116251218438,0.03641180691805612,0.02841998107869842,0.016259239924792203,0.027221152754601418,0.024592296424024312,0.026549938178650884,0.029070314835514328
movementsTransitionsDuration,0.10223981611952358,0.10610392873525053,0.10077708399111525,0.11303823047522735,0.11917712783139754,0.10165718598280427,0.10264021026031732,0.10617799462209383,0.10646674471991664,0.07631043750116372,0.1037586330388373,0.09409011821896358,0.10353592454989471,0.10023276607766193
humanMovements,0.016860479316480034,0.01689684751297582,0.0171616971810895,0.015496340888769828,0.02239320893994152,0.016428380584877667,0.016820413441794507,0.017361062690710048,0.017036192747098746,0.015588123441365322,0.01716377827754753,0.013634834702509887,0.016343131853447025,0.01927646338834475
balance,0.016711227548572717,0.015796654429911555,0.016579139235477776,0.016381138886272045,0.01862085504271645,0.0163792335659621,0.01675465263207796,0.014317838076771089,0.016972246956584107,0.01330530879626167,0.016001933762685223,0.022451648131326593,0.016590818471490253,0.01632937848097165
speed,0.037347693690347475,0.03850437499307351,0.038183039723883525,0.034655295474068225,0.036851413377347236,0.03761522523867215,0.03766127586233716,0.0364779987483839,0.03664829135022314,0.044448878632154104,0.03756348402611814,0.03751065348846572,0.03801436311737567,0.035465462853499725
bodyPartsCombination,0.022432495841002677,0.020640316874457547,0.02281170263899951,0.01881654336013088,0.02075932591635686,0.022211870380370525,0.021428459876249285,0.029259281437694587,0.022064917745788157,0.022408464048657355,0.022202952489690703,0.02103806182489078,0.021914085502968434,0.022982990380497944
musicBPM,0.1882527867485149,0.18783385016254434,0.18342124825924916,0.21030342080282466,0.17239878412039772,0.18942889083152334,0.19010525533260167,0.16777818887348606,0.19335738954586887,0.14898083082948876,0.18760834918259223,0.19436386584243437,0.18584356397295398,0.19890196744722552
sameStartEndPositionPlace,0.039842422864753195,0.04237981935993903,0.041689788164303396,0.03386691141467873,0.041912878761086465,0.04017848314204067,0.040271584093672604,0.040670583538633995,0.03997694528048353,0.0427957863047195,0.040117030273392106,0.04236565952335594,0.04027539339500514,0.04044704890046787
headMovement,0.058078652362071354,0.05205481608207638,0.05713754578198153,0.05623541646203249,0.04179880985234393,0.05818312583440111,0.054330498986911245,0.08497324206806539,0.05665747710007151,0.059402539440907995,0.057224861288706456,0.0542879401292319,0.0575471144231007,0.05436104819374889
armsMovement,0.021879127195391014,0.021120126990202694,0.02156701361674736,0.022547487200881563,0.02050351529515446,0.021838648326585653,0.021735787260681445,0.021789667287259756,0.02267880761509247,0.014641709499229896,0.021502526275587797,0.024332736771413892,0.021112413539708143,0.024628143696442756
handsMovement,0.046243439400201064,0.04461687532116695,0.04579764190969776,0.046637696511989644,0.044780429955932205,0.04603879203614329,0.04535483829077924,0.05219983250498175,0.0466711993390105,0.04046186267941956,0.0462623415626034,0.042501966833903386,0.04574723562468705,0.04686123075775174
legsMovement,0.025933062951808954,0.0252845803050275,0.02534511236635579,0.027999185912357952,0.02430870570246101,0.02593413033994711,0.02463962055177775,0.03823888921941868,0.02680851234616091,0.01829541294132359,0.025356014432429224,0.030810938357810513,0.026481519044735537,0.022747923111317833
feetMovement,0.027989283052116752,0.029025340001217842,0.028066520595059468,0.02870011107033278,0.026559624033739848,0.02830712984567954,0.02774168117760052,0.032798626016215054,0.028712377473625792,0.02414050287874417,0.028244225656139748,0.027463455825426423,0.028047073730671373,0.028783316844085163
musicGenre_electronic,0.0024170005062703025,0.011953225568738044,0.0044786024502609005,0.002674359263780775,0.0027523671035536565,0.0042711796198775555,0.004321407399279402,0.00244701170217013,0.0044034682202718535,0.002313564472610599,0.004330874697103148,0.0022917910558236244,0.004560553645452831,0.002315233113206894
musicGenre_folk,0.030065078894436447,0.018905118668143945,0.01902299073562589,0.06992077774952997,0.020985287834690603,0.028584918921341556,0.029061826582932573,0.017071986439530864,0.029333076411057996,0.01813733992704654,0.028793365220835154,0.019664045582289374,0.029759359784836712,0.020055533915277257
musicGenre_indie,0.011061256967543983,0.005357286507645382,0.011058130897287653,0.005183583717092432,0.0681917072180751,0.005400400328908083,0.0104190905694939,0.0057886060148420885,0.010682035341436599,0.005003354799305092,0.0104010617804179,0.005856420124853482,0.01103359539045568,0.0053539925394884115
musicGenre_latin,0.0226951366975995,0.011435709319303565,0.022812525277158956,0.010517847368934755,0.011499911395764527,0.021363314151049168,0.011066415232505069,0.12184884158588435,0.02213531160271793,0.009309209693345484,0.02150725786034551,0.011164450074300272,0.02267903814323289,0.01125216250344
musicGenre_pop,0.0145416478904754,0.0063461319885600494,0.014477793458751758,0.006372797301138222,0.006946316884751137,0.013528298948712167,0.01362845404546323,0.006865647148208791,0.006519707448528793,0.06240164494730413,0.013607423095839987,0.006906941122999544,0.01451036840226411,0.0063024771800629905
musicGenre_rap,0.01730758558656418,0.006724016156900055,0.017183475112781895,0.006952267225336885,0.007164177851315351,0.016025551650304858,0.01612598917262844,0.007419350156324564,0.01654613535030866,0.00650467046641279,0.0069058159233719016,0.10763897010089643,0.017273268831495638,0.006639698145049777
musicGenre_rock,0.024176448952764187,0.01402014461450483,0.024077123606452006,0.014147160109282367,0.015023600671649174,0.022900037878753738,0.022987276455885157,0.015271933410470877,0.023488009469429784,0.013489877354813497,0.022957721566949123,0.015379643469908234,0.014320408807973585,0.05910626995225824
